ID,phi_P1,phi_P2,ampl_P1,ampl_P2
D09,6.485839,3.385109,0.486235,1.126495
D05,-2.370643,-0.092097,0.193165,1.098335
D10,5.690226,5.798272,0.209586,1.087016
D08,-0.35238,-0.353725,0.238564,1.046184
E09,4.612094,8.122453,0.479164,1.003183
E08,5.138958,8.729677,0.325128,0.991443
E10,2.949781,5.551119,0.339153,0.977225
F07,3.706626,0.157527,0.454781,0.963803
D07,3.860568,5.560477,0.453184,0.950921
F09,6.715985,4.762167,0.115637,0.9329
B05,3.11121,1.095881,0.154467,0.91331
B08,1.278324,3.487237,0.081127,0.900468
C05,2.929503,-0.509496,0.342417,0.863843
D06,-0.270223,-2.157858,0.543253,0.851901
C10,0.677196,1.329344,0.190886,0.831888
F08,5.59009,2.807039,0.120277,0.78323
E05,-2.827742,0.996376,0.612168,0.765762
C09,0.849865,-1.383035,0.202051,0.718415
A10,-1.373839,2.530232,0.145401,0.685831
F10,4.581737,3.904654,0.262609,0.64095
B10,4.03593,3.232313,0.170274,0.584843
E07,3.351349,7.319816,0.901443,0.5734
A08,4.966043,5.524935,0.055031,0.569514
A07,1.069088,1.39546,0.100165,0.518327
B07,2.173673,1.313172,0.135682,0.486711
G05,1.455566,-2.398921,0.171512,0.470966
G09,5.585474,5.480652,0.120081,0.450056
A06,2.914772,0.804382,0.155899,0.425824
C06,3.009562,8.188922,0.244613,0.408871
G07,5.548801,1.97918,0.053283,0.38184
G08,5.060688,8.824491,0.169942,0.374465
C07,2.57307,0.740209,0.328162,0.331498
A05,1.773993,-0.605878,0.084952,0.322271
B06,3.781851,3.481373,0.102008,0.31652
F06,5.024206,8.310778,0.596635,0.305006
B09,3.489592,0.102095,0.130513,0.304766
E06,-1.08596,1.56442,0.473955,0.292229
G10,-0.72957,-0.995961,0.120802,0.282281
A09,2.469564,-0.377011,0.163215,0.27207
G06,3.852966,0.018044,0.185972,0.24308
F05,2.824458,0.218288,0.533744,0.127012
C08,0.304694,3.202012,0.183638,0.066551
